# SYNTHETIC NAVIGATION - NOT REAL SURVEY POSITIONS.
# The source imagery ships without navigation data. This track
# exists only to exercise the geolocation maths on a known
# geometry. Do not treat the resulting coordinates as real.
ping,lat,lon,heading,altitude
0,12.92,80.34,22.0,11.0
1,12.92000125,80.34000052,22.0,11.0
2,12.9200025,80.34000104,22.0,11.0
3,12.92000375,80.34000155,22.0,11.0
4,12.920005,80.34000207,22.0,11.0
5,12.92000625,80.34000259,22.0,11.0
6,12.9200075,80.34000311,22.0,11.0
7,12.92000875,80.34000363,22.0,11.0
8,12.92000999,80.34000414,22.0,11.0
9,12.92001124,80.34000466,22.0,11.0
10,12.92001249,80.34000518,22.0,11.0
11,12.92001374,80.3400057,22.0,11.0
12,12.92001499,80.34000621,22.0,11.0
13,12.92001624,80.34000673,22.0,11.0
14,12.92001749,80.34000725,22.0,11.0
15,12.92001874,80.34000777,22.0,11.0
16,12.92001999,80.34000829,22.0,11.0
17,12.92002124,80.3400088,22.0,11.0
18,12.92002249,80.34000932,22.0,11.0
19,12.92002374,80.34000984,22.0,11.0
20,12.92002499,80.34001036,22.0,11.0
21,12.92002624,80.34001088,22.0,11.0
22,12.92002749,80.34001139,22.0,11.0
23,12.92002874,80.34001191,22.0,11.0
24,12.92002998,80.34001243,22.0,11.0
25,12.92003123,80.34001295,22.0,11.0
26,12.92003248,80.34001346,22.0,11.0
27,12.92003373,80.34001398,22.0,11.0
28,12.92003498,80.3400145,22.0,11.0
29,12.92003623,80.34001502,22.0,11.0
30,12.92003748,80.34001554,22.0,11.0
31,12.92003873,80.34001605,22.0,11.0
32,12.92003998,80.34001657,22.0,11.0
33,12.92004123,80.34001709,22.0,11.0
34,12.92004248,80.34001761,22.0,11.0
35,12.92004373,80.34001813,22.0,11.0
36,12.92004498,80.34001864,22.0,11.0
37,12.92004623,80.34001916,22.0,11.0
38,12.92004748,80.34001968,22.0,11.0
39,12.92004872,80.3400202,22.0,11.0
40,12.92004997,80.34002072,22.0,11.0
41,12.92005122,80.34002123,22.0,11.0
42,12.92005247,80.34002175,22.0,11.0
43,12.92005372,80.34002227,22.0,11.0
44,12.92005497,80.34002279,22.0,11.0
45,12.92005622,80.3400233,22.0,11.0
